Najdan Krstajić
Liza Dukanić
Spasoje Šakotić
Želimir Džonkić
Grigorije Graočankić
Višeslava Pelengić
Negoslav Miljić
Kasija Šantrić
Goca Rošogić
Todora Timilić
Jerotije Šaronjić
Filip Koraksić
Vojislav Pirivatrić
Dalibor Vasikić
Radenko Bobičić
Stanislava Bojić
Jordanka Janičić
Sava Šipčić
Ratimir Marodić
Anastasija Svetličić
Viktor Krnjajić
Hranislava Jerinić
Makarije Jović
Stamenija Gvoić
Ratomir Gazdić
Željko Potparić
Živadinka Urzikić
Stojmen Bataveljić
Julka Pantelić
Cveta Mutić
Novak Bečelić
Vojislava Paleksić
Petko Aperlić
Stracimir Čkrkić
Ilinka Šobić
Julijana Miloičić
Milijan Grubić
Mila Sevkić
Bogomir Prelić
Srbislav Grubnić
Svetomir Taricić
Lara Kanlić
Kostadinka Tirnanić
Anđelka Brinić
Željka Mošić
Dragojla Dramlić
Ćana Kolačarić
Grozda Perutić
Julka Nogulić
Sretenka Nemanjić
Perka Dedeić
Stamenko Doknić
Magdalena Prekogačić
Stanka Vojnić
Veselinka Mišić
Sofronije Ljubišić
Vuk Klisarić
Andrija Selenić
Rodoljub Trifić
Živoslavka Trifić
Goca Tešinić
Poleksija Zipančić
Aleksandar Šelmić
Krsta Glušić
Grozda Petkanić
Tina Gligurić
Alimpije Rajšić
Stojadin Teodosić
Natalija Sjerić
Toša Čočić
Jela Marljukić
Jevrosima Miladić
Ranka Sovrlić
Radonja Prekić
Obrad Milajić
Todora Ješanić
Bogdanka Jokanić
Sojka Kvekić
Hranislavka Verbunkić
Hristina Žepinić
Ranka Radivojšić
Soka Oraovčić
Radomirka Kusonjić
Blagomir Nekić
Prodana Bastaić
Stojna Jončić
Zora Vukojčić
Aleksija Rogonjić
Nićifor Femić
Kadivka Golić
Vukan Basekić
Dobrivoj Dendić
Vladan Ćujić
Jugoslav Bontić
Helena Lučić
Ćirka Spirić
Veljko Margitić
Ratiborka Bulutić
Zorica Gluvić
Vesna Pešukić
Zora Prikić
Manojlo Đešnić
Novka Bujandrić
Ćirka Bacetić
Ljubo Drinić
Biljana Bujandrić
Želimirka Durlić
Srpko Tejić
Tanasko Škorić
Feodor Đurnić
Anđa Trivunić
Božidar Stingić
Radomir Bešlić
Selimir Kusonić
Bane Pajičić
Krunoslava Basekić
Verica Lazić
Milojko Verbić
Stokan Škundrić
Mijat Medančić
Radivoj Brdarić
Jelisije Berilažić
Selimir Gambelić
Mirko Ljubišić
Nevena Jeveričić
Anica Bastajić
Simonida Bjelonić
Jefimija Rajić
Lena Derajić
Goca Kitić
Jovica Đuračić
Božidar Čekić
Kruna Gvoić
Dragiša Dorongić
Filiman Jalić
Veroljub Alavantić
Radoš Sorajić
Nedeljko Grujičić
Radenko Mazalić
Arsenije Lalić
Janko Stošić
Simeon Boranić
Angelina Ulardžić
Stojiljko Ilikić
Danilo Božić
Danica Blagić
Stojadinka Daničić
Jovica Tomecić
Ivana Ćojbašić
Vuksana Lišančić
Svetislavka Bukvić
Blaža Potulić
Vlastimirka Pušeljić
Božidar Glintić
Ilinka Budimkić
Snežana Negucić
Milojka Manjenčić
Filipinka Spasenić
Borko Cvijić
Jelenko Gerginić
Glorija Panić
Milisav Aljančić
Goca Barajić
Olivera Jurišić
Nada Taricić
Cvijetin Rstić
Toplica Kandić
Velimir Mavrić
Borislav Kutlašić
Vidosava Nović
Oliver Maslovarić
Adam Mijić
Tanasije Drobić
Tada Zuvić
Njegoslav Poskuričić
Bane Dedić
Hranislavka Spasić
Jana Murišić
Vlastimir Stojkić
Stanka Nikitić
Avram Šobajić
Julijan Lazukić
Lucija Oprikić
Živko Milisavić
Milka Maksić
Marinko Stegnjaić
Vojislav Čokonić
Ristivoj Rebić
Stamenko Cekić
Zora Bokanić
Živanka Đenisić
Đura Karpić
Teohar Popadić
Veroljub Seničić
Prvoslavka Budujkić
Kristina Bajkić
Jovanka Stijačić
Anđelija Kuić
Fema Trivalić
Razumenka Kojanić
Jelisavka Smrzlić
Jeremije Bosiljčić
Borisav Vinokić
Kadivka Džonić
Janovka Krstinić
Vujadin Drinić
Šiško Kolarić
Smiljana Kojić
Milena Dvornić
Milinko Egerić
Stoja Ćorić
Vukašin Ocokoljić
Vukosav Maličić
Jasminka Đakušić
Steva Ploskić
Dobrosav Prijić
Dragojlo Maćešić
Radenko Hadži Jovančić
Rodoljub Maričić
Joviša Džajić
Grozda Krstičić
Ugren Bobičić
Jordanka Kalajdžić
Mateja Drenovčić
Vukajlo Studić
Negovan Jonkić
Negomir Tošnić
Dobrivoj Marić
Koviljka Jelikić
Veliborka Stajić
Nevenka Veljančić
Aleksija Zimonjić
Makrena Pujić
Borka Zrakić
Miomir Bakajlić
Bratislava Adžić
Jevrosima Šivčić
Raško Bubonjić
Radoljub Žmirić
Milovan Budurić
Ilija Vukosavić
Selena Marunić
Đurica Radivojšić
Pavle Ljepavić
Golub Negrić
Ristivoj Ajdačić
Kostadinka Tomičić
Prvoslav Arsenić
Tadija Đukić
Tada Sevkić
Stojadinka Krkotić
Ceca Jovelić
Pauna Modić
Damjan Materić
Aleksija Mrkonjić
Kostadin Škuletić
Toplica Kilić
Ratibor Sekulić
Mašinka Brndušić
Anđa Mikić
Ćuba Gmitrić
Đura Čičulić
Novica Dželebdžić
Ratislav Stošić
Tanasije Nožinić
Blagomir Svilkić
Ilija Šubakić
Dobrinka Zvizdić
Vidosava Brkanlić
Spomenka Vujić
Cvetana Štulić
Ivana Komarčić
Krstan Kotarlić
Gradimirka Pejičić
Snežana Miljić
Borko Budimčić
Sojka Klisić
Vukajlo Jeličić
Blaža Furnjigić
Đurađ Perčić
Đurđevka Đusić
Radoš Bulajić
Stojka Tičić
Rafailo Miličić
Angelina Kesić
Neško Javorić
Bisenija Đuzić
Vuksana Ananić
Radojla Đonlić
Tadija Nedić
Ćira Sojkić
Verka Bojičić
Čedomir Grubetić
Ignjat Inić
Lale Dragušić
Bratislava Tanurdžić
Vasilije Miražić
Julija Jovelić
Života Stanić
Ratimir Tešankić
Marko Bujandrić
Ruža Minić
Srboljub Višić
Natalija Škeljić
Radojka Koljenšić
Veliborka Bjelogrlić
Ranko Raulić
Ristivoj Ivelić
Kleopatra Lopičić
Spasenija Risimić
Svetlana Trokicić
Sajka Ciklušić
Aca Zjajić
Cvetomir Indžić
Persa Tatišić
Vladislav Plazačić
Živanka Murišić
Aran|el Vlastić
Ninko Đajić
Vukadinka Lakić
Agnija Despinić
Slobodanka Marsenić
Filip Glomazić
Rodoljub Stajkić
Stokan Glintić
Dušana Ječmenić
Vidoje Bojčetić
Zaviša Torbić
Dubravka Šušulić
Mladen Rendić
Zvezdana Raducić
Prerad Zeljkić
Jevta Jokić
Mihailo Srebrić
Miloje Žagrić
Stojana Vujisić
Boško Draginčić
Ubavka Gramić
Svetislavka Lekić
Ranisav Gilić
Olgica Moskić
Slavica Jozić
Aksentije Barišić
Nina Vladičić
Miloje Tekić
Živoratka Lancić
Branko Alagić
Stanica Blažetić
Bane Žigić
Krsman Rusić
Dejan Trivunić
Novak Diklić
Metodije Poštić
Radomir Kažić
Milan Ilić
Grujica Matejić
Veronika Prokopić
Grozdana Sendrić
Milovan Šabić
Ivka Špirić
Vuksan Bekić
Nemanja Bekčić
Jelka Bizetić
Peran Kečkić
Jasna Guveljić
Vujadin Doklestić
Grozdana Novarlić
Glorija Ljaljić
Vujadinka Šunkić
Metodije Fuštić
Vojin Jabukić
Vasilija Lajšić
Olgica Gatarić
Krsta Bastaić
Zvezdana Ustić
Filiman Topić
Ignjatije Poznanić
Negovan Stopić
Ignjat Lazarić
Stojiljko Čaušić
Vujadin Lukšić
Caja Gladić
Timotije Vavić
Petar Besjedić
Dragomir Malbašić
Kosovka Zarić
Feodor Mirosavić
Živoslava Besedić
Ljilja Balcojkić
Sergije Radovanić
Miroslava Kekić
Dragojla Kožokić
Milentije Pantelić
Ćirka Roškić
Draško Kopitić
Todor Lukačić
Pantelija Apelić
Ratiborka Grujić
Prvoslavka Cvejić
Toma Veleušić
Toplica Cvetnić
Elizabeta Balubdžić
Zorka Ivucić
Vujadinka Čuljić
Spasoje Vučić
Sanja Ružičić
Ružica Pečeničić
Svetozar Pleskonjić
Hariton Ralčić
Milanko Zvizdić
Vlastimirka Trešnjić
Ljeposava Vićentić
Jezdimir Krstanić
Gradimirka Krkotić
Slavko Ljočić
Nemanja Krezić
Ljubiša Prodić
Radojlo Šušulić
Tatomir Dmičić
Sima Moskovlić
Vukašin Zrnić
Časlavka Šterić
Dragoslav Martačić
Veljko Jančić
Kamenko Cvetnić
Dimitrije Kvakić
Nikolija Očinić
Toša Baldžić
Milun Tripić
Anđelija Đenisić
Lidija Škuletić
Feodor Đinić
Milan Bajčić
Toda Ješanić
Milivoj Munišić
Obrad Šaronjić
Živadinka Basekić
Ozrenka Ćipranić
Jelena Ugrešić
Arsenije Batajić
Mijat Karaklić
Sima Vrućinić
Sara Vukosavljević
Stanija Todorčić
Ljilja Umiljendić
Todora Rajšić
Zorica Žmirić
Aleksandra Kragić
Vlastimir Đelkapić
Bojana Pelengić
Vukota Stevandić
Lola Nikolešić
Željko Gajić
Ivana Kursulić
Zorislava Majkić
Stevka Šušnjić
Bane Tutić
Predrag Krstanić
Vujka Gvoić
David Bondžić
Dobrašin Vićentić
Stanica Komadinić
Zlatomir Mikarić
Vukajlo Brančić
Cvijo Milikić
Cvetomir Maljurić
Tamara Milekić
Ljuban Balabušić
Pantelija Špirić
Dmitar Vukosavić
Desimir Paucić
Hristivoje Stuparušić
Kosta Smilić
Cvijan Vučić
Jelica Meržikić
Kirilo Stranatić
Ivka Goronjić
Nevenka Pruginić
Aksentije Kiklić
Sava Stojankić
Sretoje Šušić
Stojadinka Basurić
Veselin Ludajić
Dušanka Dragoslavić
Metodije Milušić
Velibor Srdić
Lela Šuletić
Lazar Kretić
Božidarka Ajdačić
Jana Krsmić
Ratomir Prijić
Momcilo Ljubišić
Pavle Mičić
Prokopije Rakidžić
Anastasija Bocokić
Božidarka Petrikić
Danojlo Fuštić
Lola Malešić
Slaven Brkanlić
Makrena Zorbić
Saveta Mileusnić
Uglješa Aguridić
Spasoje Filić
Katarina Divnić
Bogdan Parlić
Malina Vojkić
Latinka Kulišić
Tomislav Dojkić
Dobrivoj Kekerić
Strahinja Šarić
Kojadin Plačkić
Kleopatra Drezgić
Zaga Duškić
Jevdokija Platanić
Radivoj Mrkaić
Mladen Tabandželić
Podgorka Opricić
Dragutin Raletić
Milun Peulić
Zlatomir Desančić
Rodoljub Ciglić
Zlatoslav Mikelić
Mileva Ekmedžić
Gradimir Bojanić
Emilija Opačić
Nedeljka Rakinić
Verka Bjelogrlić
Čeda Mekinjić
Gordana Miročić
Cvijan Pušonjić
Vuksan Lozić
Radoslav Mitrić
Sava Luburić
Ivana Blatešić
Đurđija Rinčić
Zorica Pujić
Ćirilo Smiljanić
Mojsilo Vladejić
Svetislav Gojgić
Vasilija Prešić
Miladin Tamindžić
Vukašin Barić
Maksim Musić
Bratoljub Krstanić
Šana Mišnić
Ratko Jašić
Ljupka Zbiljić
Mihailo Trumić
Jelena Racić
Grujica Bodrožić
Stojana Tutorić
Katarina Brndušić
Margareta Šijačić
Milanko Bosiorčić
Dragutin Gnjidić
Dobrosav Babejić
Radivoj Rendić
Danica Paligorić
Angelina Risančić
Rodoljub Bjelogrlić
Dobrivoj Kalentić
Radonja Devedžić
Goran Bečelić
Milun Kuvizić
Una Brkić
Radoje Kokorić
Simona Đukarić
Gavra Navalušić
Stanica Veselić
Đurđa Raketić
Negovan Čudić
Dragojlo Tominčić
Jordan Bosnić
Melentije Bukušić
Milisav Surlić
Katica Jočić
Emil Turunčić
Živana Tičerić
Ivka Peruničić
Njegovan Timotić
Slaviša Nenezić
Ranko Dondić
Bosiljka Cvijakić
Soja Milić
Prvoslava Budnić
Doroteja Burdžić
Ljubo Mažibradić
Tomka Jančić
Velibor Tutulić
Sibinka Blagotić
Jordan Mostić
Manojlo Žestić
Sajka Čobić
Mirko Remetić
Jeremije Grabovčić
Dražo Štatkić
Jordanka Jocić
Bogomir Šokčanić
Stefan Tulenčić
Jelica Vojkić
Miladin Sokić
Grozdana Neagić
Slavica Kovinčić
Radoljub Brdarić
Mira Tajdić
Ratomir Janjić
Jagoda Batnožić
Radomir Prokić
Gradimir Fundić
Draginja Šešić
Jelka Kulić
Živodarka Lakušić
Njegoje Krkotić
Dobrosav Desančić
Dubravka Radojčić
Sretoje Sopić
Višeslav Putić
Lazar Rakić
Aćim Rozgić
Stefan Kusonjić
Jagoda Vlaškalić
Milenija Ceranić
Budimir Jekić
Stanojla Pačkić
Milan Majkić
Zora Žutinić
Egenija Pikulić
Grozda Škipić
Marija Zakić
Ratko Murganić
Ranisav Kojičić
Saveta Minić
Darinka Maslarić
Stevka Dugajlić
Miroslava Čaloveić
Stanojla Ševarlić
Stojka Kosorić
Časlav Gobeljić
Teofan Vrugić
Slobodanka Bisić
Višeslav Đačić
Roksanda Jeftenić
Toplica Drmončić
Veljko Lolić
Filipa Đunisić
Dušan Maljurić
Obradin Todorić
Drago Krasnić
Jelenko Puškić
Radenka Burgić
Lazar Žilić
Ćanka Đačić
Nada Karadaglić
Srđan Delić
Veliborka Lutkić
Milisav Strahinić
Biserka Bacić
Mateja Rabadžić
Đulijana Mečkić
Viktorija Zapukić
Ćana Burtić
Koviljka Mihaljčić
Bosiljka Maričić
Divna Dragić
Dražo Žeravić
Slavenka Vetnić
Ratimir Štrkić
Radosav Krsmić
Živojin Bešlić
Čedomir Keserić
Ristivoj Delojkić
Filiman Aličić
Tanja Varazlić
Strahinja Očinić
Borisav Cankić
Momir Raičić
Stanija Treskić
Njegomir Stegnjajić
Ljuba Zebić
Ratimir Ladičorbić
Teofan Blagić
Ninoslava Lončarić
Milojko Stanušić
Vujadinka Aljančić
Veroljub Vidić
Vukoje Mošić
Đurađ Žarić
Vidak Gostić
Vojislava Berdić
Hranislavka Bizumić
Đurđa Gagričić
Vladan Joličić
Cvetomir Proročić
Simeuna Kunić
Selimir Šantrić
Ivo Botorić
Julijana Ušendić
Jevrosima Panišić
Manojlo Vrućinić
Aran|el Birišić
Melentije Risimić
Ratislav Dašić
Margareta Jokić
Prohor Sakić
Arsenije Rstić
Srbijanka Čingelić
Kosta Erčić
Dragojlo Abramić
Stanojka Trifić
Jelica Bekić
Veselin Vlašić
Jugoslav Nikitić
Kosana Vezurić
Stanislav Šikanić
Ugren Kureljušić
Jordanka Spasenić
Isidora Bratić
Kostadinka Krainčanić
Jela Skokić
Ivica Tanić
Timotije Budurić
Jugomir Mandušić
Ranko Vračarić
Milena Zubić
Dunja Krdžalić
Fanija Penonić
Grujica Mišurić
Filotej Juškić
Hariton Stevlić
Mladomir Stambolić
Tomanija Ćipranić
Spomenka Bajkić
Željka Ušendić
Emil Polić
Obradinka Karličić
Stokan Spremić
Teodor Belivakić
Persida Jerinić
Ljubomirka Labotić
Šana Korugić
Jordanka Josić
Željko Žunić
Kristivoje Zekavičić
Budimir Goncić
Nada Jeftenić
Slobodan Miletić
Angelina Vladičić
Teohar Belivakić
Oliver Grubnić
Cvijo Milotić
Branimir Bekić
Darinka Canić
Obradinka Zlajić
Katica Škrnjić
Vojislav Mrkušić
Nina Maričić
Leonora Nenić
Vukoje Civišić
Kristivoje Gvozdić
Stokan Trokić
Draginja Garetić
Peran Dubajić
Stojiljko Brašić
Ljubica Krdžić
Spasoje Videkanjić
Nedeljka Đurendić
Krsta Kanarić
Joviša Kitanić
Vujka Joničić
Milena Mandinić
Sreten Tiragić
Evica Vlasonjić
Ana Ralić
Vidak Panišić
Đurđevka Zlatarić
Vojislav Jakšić
Suncica Stegnjaić
Aleksija Ćoralić
Višeslav Juzbašić
Sredoje Nocić
Živana Mosić
Živadin Dragonjić
Daliborka Ponjavić
Smiljana Glamočić
Tanasko Blendić
Ružica Buljigić
Sara Garić
Vojislav Kekerić
Slaviša Šaljić
Aleksa Baroševčić
Đokica Crvendakić
Negosava Brekić
Veliborka Dvokić
Angelina Ekmedžić
Jelisije Kosnić
Njegoslava Jabukić
Žarko Kimčetić
Radoje Deurić
Živadinka Rutešić
Vukota Dubonjić
Nedeljka Pikulić
Miroslava Blešić
Novka Skokić
Trajko Barić
Boško Kesić
Jordan Golić
Olga Grokanić
Vuksan Skokić
Zorana Sokić
Šiško Vilendečić
Suzana Jovikić
Jeremije Krkeljić
Sava Krkelić
Radisav Juškić
Trajanka Folić
Bosiljka Baštić
Vukota Grbonošić
Slavica Bukumirić
Nedeljka Čobelić
Egenija Barišić
Persa Šakić
Sotir Tadić
Lazar Buzejić
Časlavka Railić
Georgije Pekić
Prerad Vranić
Krunoslava Vilipić
Emilija Greblić
Emilijan Mikičić
Dobrica Ružičić
Jordan Stambolić
Ignjatije Ćertić
Raško Kojičić
Olja Prekić
Malina Zaharić
Obrenija Tančić
Nikola Vidić
Damjanka Alinčić
Andrija Tošanić
Ivo Karolić
Zorana Oliverić
Vojislava Vukojčić
Biljana Mutić
Dobrinka Šestić
Svetozar Dačić
Tijana Zapukić
Rafailo Sibinčić
Vlastimirka Ajdučić
Gradimir Dorongić
Ranka Dragoslavić
Prvoslavka Plisnić
Predrag Deurić
Feodor Žutobradić
Andrija Jablančić
Aleksa Perotić
Stanija Stevlić
Ivka Kavarić
Prodana Lijeskić
Sava Kuveljić
Mihailo Vukosavljević
Ljubomirka Karaleić
Živomir Kalenić
Žika Radonjić
Ratka Dragonjić
Hristivoj Čubrić
Danojlo Lilić
Đura Bodirogić
Taško Čečarić
Sandra Ljepavić
Predrag Savčić
Ljubomir Cmiljić
Kirilo Lišančić
Slaviša Stejanić
Vukadinka Bjeletić
Mijat Klisurić
Njegosava Drakulić
Grozda Zelić
Sotir Vladušić
Ruža Simičić
Boško Bačunić
Filipa Garalejić
Vidak Savatić
Vujka Šaletić
Kamenko Šivčić
Bojana Jesretić
Grozdan Tuckešić
Pavle Šipragić
Trajan Krivić
Šako Čupić
Timotije Vukazić
Emilija Teslić
Ivka Čaprnjić
Filiman Žarić
Tijana Stambolić
Jagoda Plačić
Zdravka Bjelogrlić
Vojimir Dobrić
Zaga Karadžić
Vlastimir Vrugić
Pajka Abžić
Vujadinka Pujić
Sredoje Porčić
Ozarija Ćipranić
Timotije Erčić
Radovan Crvendakić
Vukica Njegić
Rumenka Dregić
Bogdan Pelagić
Živadin Dlačić
Radoljub Komnenić
Ljeposava Bogatić
Tomka Borjanić
Agnija Nožinić
Olga Bujandrić
Hranislava Manjenčić
Milutin Basekić
Marijan Brezonić
Milija Sitničić
Stamenija Albijanić
Hranislavka Moskić
Vojimir Radikić
Boško Strahinjić
Ubavka Galamić
Ranka Hadži Tančić
Tešman Skočajić
Lucija Milojkić
Božidar Mršić
Tadija Bjeličić
Todor Bulić
Predrag Malukić
Dobrivoj Gospavić
Stana Drmončić
Njeguš Smiljkić
Tešman Likušić
Sava Selić
Kristina Miladić
Živodarka Radeljić
Časlavka Zelić
Sekula Drobić
Fema Remetić
Sin|elija Glidžić
Sreten Martačić
Eva Džonić
Todora Aleksić
Šako Basekić
Ljuba Burčić
Margareta Šapić
Dubravka Mrkajić
Žika Smrzlić
Vujadinka Đuračić
Trifun Bosnić
Jelisaveta Pešukić
Petko Družetić
Konstantin Jelesić
Anđelko Planić
Bratoljub Bukvić
Selimir Šević
Milenija Gradecić
Negosava Dobratić
Kosana Gostojić
Dmitar Dravić
Buda Malukić
Zvonka Perutić
Srbislav Backić
Dobrila Peulić
Vujadinka Dostić
Dimitrije Koljenšić
Magdalena Burgić
Branka Janojlić
Aleksandar Vlačić
Olivera Boškić
Njegovan Budimkić
Ratimir Lopandić
Ruzmirka Vukeljić
Njegosava Leposavić
Teofan Ergić
Julijana Čelikić
Zlatoje Tirnanić
Gabrijela Bujandrić
Nadežda Nekić
Makrena Vanucić
Tatjana Zatežić
Slobodanka Skokić
Stanija Krkeljić
Dobrica Stojančić
Ćetko Kuić
Hranislav Jerinić
Gradiša Stevlić
Kosovka Trujić
Radojko Vukosavić
Sibin Dimkić
Milentije Brdarić
Kasija Saičić
Vidoje Čepić
Milija Lambulić
Vojimir Likić
Zaga Bugarić
Živorad Kunić
Sergije Ocokoljić
Budimir Jovalekić
Todor Ivić
Radojka Civrić
Dunja Kopčalić
Kosovka Stajčić
Vukašin Skelić
Rajko Bebić
Nenad Vezilić
Milan Blažetić
Taško Simakić
Aksentije Zipančić
Svetislav Borčić
Živan Narandžić
Moša Zorkić
Anica Radeljić
Anđa Cmolić
Caka Čekić
Joksim Vetnić
Prodan Carić
Ljubivoje Trmčić
Toplica Magić
Bratislav Dašić
Vidoje Greblić
Buda Karapandžić
Jovana Oliverić
Tešman Kožokić
Jasna Vojičić
Julka Brozbić
Svetislava Bataveljić
Jasna Malavrazić
Jelica Čotrić
Kamenko Šobačić
Radomir Brajić
Koviljka Nojkić
Šiško Dunić
Oliverka Keserić
Svetoje Dunčić
Tomislav Petrušić
Stamenko Veseličić
Zagorka Jevdosić
Nikolija Božanić
Radojka Vujetić
Đurica Rulić
Sotir Miškić
Tihomir Todosić
Bisenija Šljapić
Despot Čuljić
Danojlo Najkić
Vasilije Jagodić
Predrag Strejkić
Cvijetin Ivezić
Julijan Sarić
Branislava Bjeletić
Stamena Čotrić
Đurđina Krstanić
Joviša Boričić
Hariton Malukić
Sonja Gajičić
Varvara Trivundić
Srboljub Mrkonjić
Tihomir Manić
Nedeljka Kokerić
Milinko Glintić
Živanko Krstonošić
Njegoš Mrkonjić
Cajka Nedeljčić
Mašinka Miražić
Jugomir Maslovarić
Svetolik Žutić
Anđelija Joksić
Paun Gojnić
Toša Šaljić
Ostoja Stajšić
Spasoje Jovanetić
Živoratka Rašetić
Stavra Zdujić
Bojana Đurbabić
Pauna Narančić
Teodor Lajić
Elizabeta Sunarić
Buda Krnjeušić
Vukajlo Kočić
Pantelija Nojkić
Radosav Janjić
Svetislav Gligorić
Uroš Ćirjanić
Anđelka Božarić
Verica Štakić
Aleksa Jeremić
Radosav Đonlić
Vojislava Stevelić
Jakov Staničić
Boško Radosavljević
Lola Koranjić
Svetoje Roksić
Ljiljana Ačić
Jagoda Batizić
Leposava Ješić
Đuro Cmiljanić
Ratka Đurbabić
Julijana Čekrlić
Cviko Bajić
Radomirka Vulišić
Momcilo Regulić
Zlatomirka Čečarić
Vujadin Vekić
Vukosava Boljanić
Zdravko Rudonjić
Staniša Gitarić
Jovan Šojić
Todor Dinčić
Jelisije Simišić
Mijalko Mikelić
Ljubinka Nedeljčić
Svetolik Vračaričić
Živan Ličinić
Stokan Rajšić
Ćanka Svilkić
Dalibor Andić
Nedeljka Minić
Marinko Krajšić
Danica Ćosić
Obrad Rakinić
Jakša Karolić
Petruška Milenić
Makrena Stakušić
Ranko Kovjenić
Radojka Vuksić
Aleksa Tešanić
Ratibor Kučparić
Sibin Anikić
Milja Prigodić
Zaga Carić
Miroslav Rusalić
Oliverka Dugonjić
Stojmen Bjeletić
Tihomir Žmurić
Teohar Rogulić
Kasija Bizetić
Despot Sitničić
Živoratka Sunarić
Čubrilo Brodić
Milun Ninić
Stoja Krančić
Ozrenka Tonić
Pantelija Vrekić
Prokopije Zelić
Golub Lugonjić
Simka Marušić
Emil Galonjić
Soka Tomić
Ruzmirka Brezonić
Cvetana Piperčić
Novica Nedinić
Toša Plašić
Božidar Đukelić
Veronika Penić
Marija Kenić
Stojko Zebić
Evica Dornić
Bratislava Drakić
Radivojka Bujagić
Kuzman Šargić
Gradiša Rasulić
Vukadinka Ušendić
Nikola Kaćurić
Đorđe Musić
Vladislav Štrkić
Dobrašin Trudić
Aleksandar Džadžić
Mašinka Traparić
Cajka Potulić
Živanko Jukić
Rastko Okulić
Đulijana Štefkić
Ubavka Krpić
Ilija Strunić
Dušanka Đurakić
Todora Cenkić
Damjan Setenčić
Ranđa Florić
Vuksana Vladić
Siniša Trešnjić
Ćetko Stopić
Malina Ševarlić
Gavrilo Civišić
Njegomir Pribić
Jelisije Zličić
Filotej Turajlić
Novica Videkanjić
Raško Radosavljević
Radivoje Bušić
Života Tankosić
Milesa Stokanić
Takosava Šljukić
Joviša Kojčić
Jasna Pačarić
Živoslava Apelić
Vukan Baveljić
Milesa Batizić
Miomir Trivunčić
Prvoslav Zekavičić
Blagoje Stojkić
Vojislava Batinić
Ljubivoje Kavarić
Đurica Antić
Perunika Malobabić
Vukica Trešnjić
Vlajko Krkeljić
Želimir Likušić
Radojko Šunderić
Ratko Gizdavić
Helena Dabarčić
Biljana Buzdokić
Simeon Milovankić
Nedeljko Kalinucić
Radmilo Blešić
Toma Jagličić
Borislav Kujavić
Joviša Kmezić
Stanika Japundžić
Olga Utvić
Bogdan Demonjić
Antonije Staničić
Sofija Đorđić
Nina Đuretić
Budimir Baralić
Živoslavka Ramić
Novica Egarić
Jelisaveta Spaić
Ljubinko Nikolešić
Despot Frtunić
Prvoslavka Radušić
Ljubomirka Dubić
Cvijo Becić
Miladin Roskić
Petra Kerebić
Latinka Krkeljić
Gligorije Borotić
Anica Čiplić
Draginja Filić
Jugoslav Petrikić
Takosava Srebrić
Aleksandra Veljančić
Žarko Šterić
Jelenko Šubić
Jordan Lužaić
Todora Stejić
Sofija Stambolić
Jevta Jerinić
Fotije Milisavić
Borivoje Šokčić
Julka Diskić
Vasilija Gikić
Drgorad Niketić
Živan Mijanić
Vukadin Anđić
Ninko Dudić
Živorad Mindić
Jelka Živić
Dobrilo Bačkulić
Alimpije Vrinić
Bogosav Frušić
Miladinka Pauškić
Grozdana Nuždić
Viktor Erčić
Stamenija Sogonić
Persa Vukazić
Josif Androbić
Selena Klepić
Milanko Dornić
Časlavka Delibašić
Viktor Gazibarić
Ljuba Knjeginić
Lela Ivantić
Cvijan Skakić
Tina Golić
Tatomir Kijačić
Stamena Jungić
Snežana Đenić
Svetoje Tamburić
Tiosav Rmandić
Zdravko Kuršumdžić
Hristivoj Jegdić
Vekoslav Mirčetić
Simonida Nikitić
Njegoslav Blažetić
Nikola Trajkić
Danojlo Škrkić
Anica Spužić
Kleopatra Tašić
Živana Brešić
Rumenka Lubinić
Desanka Krivokapić
Dmitar Solujić
Stojna Džajić
Zlatomir Ubavkić
Živorad Bontić
Natalija Svilkić
Agnija Štukeljić
Pantelija Jerčić
Slavenko Gujaničić
Dragoslav Steljić
Radoslavka Košarčić
Bogdan Likić
Radivoje Rutonić
Zlatibor Cmiljanić
Zaga Bodirožić
Živoslava Arsekić
Njegoslava Diklić
Aca Čekić
Rastko Lugonjić
Vukica Todorčić
Prodan Kitonjić
Jagoš Zdravić
Marijan Soprenić
Ivka Tepšić
Mirjana Vlaketić
Tatjana Krekić
Puriša Guberinić
Aleksandar Terentić
Ilinka Florikić
Ljuban Zurnić
Negosava Stepanić
Bojana Odavić
Antonina Docić
Oliver Kolicić
Pajka Rajačić
Manojlo Stegnjajić
Višeslava Šaronjić
Obrenija Elčić
Lepa Lukić
Željko Šuluburić
Moša Ubavić
Jerotije Jančić
Zvonka Glidžić
Blagomir Šakić
Zlatibor Đinđić
Ugren Đajić
Antonina Srdić
Marjan Grajić
Nenad Ralčić
Milinko Acić
Vukosava Ivucić
Borivoje Janjić
Anđa Šipčić
Ozren Gajić
Makarije Ludajić
Svetislav Milajić
Blaginja Filipić
Podgorka Dotlić
Nevenka Vukazić
Borka Grozdanić
Eleonora Erletić
Veljko Baldžić
Boško Borovinić
Petrija Diskić
Stojanka Šargić
Danica Đurnić
Ozrenka Bjelkić
Rajko Dorontić
Golub Malobabić
Stanimir Radunčić
Suncica Janjušić
Gavra Pišteljić
Radivoj Komadinić
Mitra Pović
Stanojlo Slavkić
Toša Jevdosić
Damjanka Tumarić
Smilja Stavrić
Kamenko Puvačić
Tiosav Maglić
